[-0.37300313754212994, -0.32298463849914294, -0.2729797528475208, -0.22299795040733336, -0.17285874518186853, -0.1219104928406749, -0.07208946540431027, -0.02244088296685811, 0.027197034505836857, 0.07702972049624099, 0.12694783614825256, 0.1767625036104267, 0.22687578591996904, 0.2769192174589685, 0.3269688220948799, 0.3770222157785824, 0.42710873854712683, 0.47713800210615875, 0.5271369944223692, 0.5771273825427872]|[-1.0473243901592046, -1.0468756812576827, -1.046694371161359, -1.0467767069252416, -1.0472882613420091, -1.0490769046166664, -1.0523717193165585, -1.0552656226849693, -1.0580429356723962, -1.0602707801592706, -1.0625508664201713, -1.0641069899644517, -1.0654677898486533, -1.0667374162691339, -1.0677487929071463, -1.0684606479147893, -1.0693516548673767, -1.0706119839384314, -1.0719360187104672, -1.073023947926655]
[-0.2229256137467106, -0.17282618022856006, -0.12208916764851468, -0.0722108280417496, -0.02248573293022015, 0.02720053990266714, 0.07703604060681557, 0.12693669451632955, 0.1767063045946521, 0.226802329425421, 0.2768249995507135, 0.32686532906250576, 0.3769278005128775, 0.42708272151821236, 0.4771530823350429, 0.5271673610670284, 0.577147294387924, 0.6271401779459767, 0.6771234011054613, 0.7270875059515766]|[-1.0551114943326647, -1.0547631149311727, -1.0554013839077332, -1.0573528809538926, -1.0587951609947173, -1.0600945550567826, -1.0608953367606515, -1.061868111603217, -1.0622958940646627, -1.0627533991375568, -1.0633801136652763, -1.0640284950692094, -1.0646609264233318, -1.0657417578431798, -1.0674297751549897, -1.069364400263021, -1.07116873739673, -1.0727331352825062, -1.0745060788027991, -1.0764736904864955]
[-0.02247786643156113, 0.027197934864861346, 0.0770097025369211, 0.126875625765222, 0.17655591985109662, 0.22664433299075842, 0.2766383540410076, 0.32666404236387464, 0.37673994751261364, 0.42702789321028356, 0.4771880207423649, 0.5272485026295954, 0.5772131485079167, 0.6272263652486754, 0.6772464757530855, 0.7271854439760124, 0.7771198608315476, 0.82707207419541, 0.8770214549674554, 0.9270060922971006]|[-1.0581760945273184, -1.0585698928522616, -1.0582925950482385, -1.0581258425826552, -1.0574495246275668, -1.0569150582628304, -1.056729303141672, -1.0567927763686995, -1.0571008239652278, -1.0581342579136663, -1.0600571213635408, -1.0624928758817793, -1.065033029931723, -1.0675221675087236, -1.0703459597688565, -1.0734089394884787, -1.0761418500057351, -1.0786151487878728, -1.0807984502257713, -1.0817212531102671]
[0.1778920001746452, 0.22778457520559528, 0.27778334446749203, 0.32774889117575695, 0.37765226155730997, 0.4272728591318541, 0.4770417480646286, 0.5269244031488498, 0.576957211670339, 0.6268925416385067, 0.6767558443130879, 0.7267642879093855, 0.7768159482646908, 0.8268237921893049, 0.876901549965121, 0.927002583310689, 0.9770327808082497, 1.027020859564909, 1.0769956852286602, 1.1269487186965574]|[-1.100506677184876, -1.0990496972133683, -1.0975291830310876, -1.0957901909457868, -1.0938167009658115, -1.0921236021317708, -1.0909233770045503, -1.0899394447353887, -1.0888789725252102, -1.0877054662110146, -1.0869300835634907, -1.0865880747931775, -1.086217483589277, -1.0859764367692408, -1.0859022452493776, -1.0850489601093989, -1.0835488143694383, -1.0817025014239703, -1.0798625070911687, -1.0775166897625381]
[0.37757677141265905, 0.4272572042001259, 0.47704706051266565, 0.5269241326611043, 0.5769445768209379, 0.6268550084432795, 0.6766600888793075, 0.7266354948727357, 0.7766768380172028, 0.8266566741419603, 0.8767829081281696, 0.9269974188493616, 0.9770955359010002, 1.0271106799733525, 1.0770893087515574, 1.1270723778539593, 1.1769564950025306, 1.226788361522817, 1.2766430117673935, 1.3264569261437524, 1.3761659765199146]|[-1.0907786167865052, -1.0899514597382443, -1.0898023516583568, -1.089962351160632, -1.0900561766211194, -1.0899747595367142, -1.0901667696752213, -1.0906183642530907, -1.090829414895381, -1.0909313027810268, -1.090952273231808, -1.0899466177484591, -1.0880622348456666, -1.0856347131021247, -1.0830666708141758, -1.079911199705879, -1.0758877417568387, -1.0717562915893197, -1.0678697442212781, -1.0634976909868274, -1.0580784042046167]
[0.6267284842323548, 0.6764066359334454, 0.7263297930396139, 0.7763594673288732, 0.8262745221677172, 0.8765028279455827, 0.9269845154829108, 0.9772656956318759, 1.0273828885172587, 1.0774189325047985, 1.1276067777855068, 1.1775880092798128, 1.2273099595862518, 1.2770987317573317, 1.3269143562368504, 1.3765663806355741, 1.4260484576380204, 1.475218347711356, 1.5240639665525777, 1.5726250346814639, 1.6208994553878273]|[-1.097624535838844, -1.098733882761794, -1.1001846180503372, -1.1013512264770258, -1.1022616878507407, -1.1028739763656978, -1.1021833772600145, -1.1003003238979803, -1.0975516218959096, -1.0943476869486823, -1.0902592077037847, -1.085056215145428, -1.0795683330886536, -1.0742063650210603, -1.0683243908374824, -1.061470723617746, -1.053565955809482, -1.0440970254309963, -1.0332644569217693, -1.0213112339169172, -1.0082680564679873]
[0.8764470722402841, 0.9269807029026614, 0.9773353185364109, 1.0275293563762746, 1.0776443520723729, 1.128061975745949, 1.17825213940814, 1.2279882971442022, 1.2778409608210834, 1.3278719526907796, 1.3776917787589003, 1.4273701358892985, 1.4766455555491245, 1.5254370495873004, 1.5738016339231276, 1.6218644451210396, 1.669124548299561, 1.7150432764385686, 1.759496920288754, 1.8031589376532726]|[-1.1052472359103191, -1.1057989939910877, -1.105307685518748, -1.1039637796191086, -1.1020624276305961, -1.0990735653734351, -1.0946982131606544, -1.0897278822219243, -1.0845267903423716, -1.0784287340604486, -1.0710053656255476, -1.0621980937932105, -1.0515600694036071, -1.0393836328388069, -1.0260128470080372, -1.0115695378444118, -0.9945919439719448, -0.9744507839142912, -0.9514477500251776, -0.9270399316317854]
[1.0273830718824148, 1.0774760569297306, 1.1278091402448498, 1.177984556798516, 1.2278015912347702, 1.2777197412602772, 1.327814091736341, 1.3777358388738714, 1.42755680133763, 1.4770068132111753, 1.525966770363099, 1.574458627713266, 1.6226444969993614, 1.6700488344491553, 1.7160242962262995, 1.7603886498094727, 1.8038435278045393, 1.8459313131967587, 1.8859325172465802, 1.923703213081389]|[-1.0975596493656443, -1.0963027085543824, -1.0941777118504772, -1.0908133856534254, -1.0869315637251538, -1.082841276414281, -1.0778181982335189, -1.071378653455301, -1.0634172421791528, -1.053449129809505, -1.041744345579434, -1.0286381509306526, -1.014238298620071, -0.9970774072291394, -0.9765803094632826, -0.9531244891979691, -0.9282292343092887, -0.9010715725007354, -0.8709846895156971, -0.8381876179118987]
[1.2255194285131192, 1.2753130322180115, 1.3247450904079694, 1.3740861857584148, 1.4231135213809643, 1.4718944024004927, 1.5205447809671941, 1.569101173765505, 1.6172529436624643, 1.6643640124941301, 1.7103988972123805, 1.755354776194084, 1.7997394410291365, 1.8425320306769737, 1.8833137507791764, 1.9218323248032414, 1.9577152422199215, 1.9910858831994915, 2.0225458347614267, 2.0517267574955373]|[-1.052751318169074, -1.0493768620524784, -1.0454347838565223, -1.0404579195503854, -1.0343973156962167, -1.0267157097171995, -1.0175811259526764, -1.0072301177415675, -0.9957923894885404, -0.9817905654874085, -0.9643691073313315, -0.9436591828626878, -0.9210994189275312, -0.8960829177355096, -0.8676965786219123, -0.8361688375713175, -0.8015760192389709, -0.7644305141424149, -0.7255948749212714, -0.6850192430992771]
[1.4240134546250587, 1.4728753800689778, 1.5214922308377152, 1.5699078717075419, 1.6178896600853026, 1.6647904848907753, 1.7104978422068902, 1.755051296916877, 1.799047577519678, 1.8414308035511817, 1.8818602810524419, 1.9201259683413237, 1.9558872362725261, 1.9893200186416935, 2.0209974092501524, 2.050475944257283, 2.0769220661918792, 2.101574003396473, 2.125388501572282, 2.1458238223182136]|[-1.0402749549262105, -1.0318453616727812, -1.021803457948384, -1.010453629597211, -0.9979707623143895, -0.9829373764317607, -0.9645838898427412, -0.9430885439184755, -0.9198974806251088, -0.8944667996527357, -0.8658716088501702, -0.8343275951414085, -0.7998837813867045, -0.7629693178323272, -0.7244181621418633, -0.6841972668549683, -0.6418660871932543, -0.5983676115836537, -0.5544288052194447, -0.5088048758547036]
